Epoch,Tanh,ReLU,LeakyReLU,Sigmoid
319,1.1909,2.0981,1.7400,7.6266
320,1.1882,2.0848,1.7072,7.6222
321,1.1769,2.0853,1.7657,7.6180
322,1.1810,2.0665,1.7249,7.6137
323,1.1783,2.0761,1.7201,7.6092
324,1.1688,2.0647,1.7337,7.6046
325,1.1819,2.0082,1.7200,7.6000
326,1.1815,2.0561,1.7331,7.5953
327,1.1805,2.0766,1.7059,7.5909
328,1.1763,2.0912,1.7599,7.5861
329,1.1782,2.0192,1.7224,7.5812
330,1.1860,2.0673,1.7240,7.5767
331,1.1737,2.0193,1.7321,7.5718
332,1.1659,2.0623,1.6981,7.5668
333,1.1750,2.0231,1.7291,7.5620
334,1.1726,2.1187,1.7352,7.5569
335,1.1908,2.0778,1.7319,7.5518
336,1.1580,2.1018,1.7249,7.5468
337,1.1596,2.0516,1.7228,7.5418
338,1.1847,2.0393,1.7057,7.5366
339,1.1744,2.0746,1.7168,7.5312
340,1.1963,2.0581,1.6713,7.5257
341,1.1658,2.0488,1.6917,7.5202
342,1.1601,2.0045,1.7052,7.5150
343,1.1736,2.0227,1.7352,7.5090
344,1.1569,2.0358,1.7428,7.5035
345,1.1624,2.0735,1.7186,7.4978
346,1.1578,2.0399,1.7495,7.4919
347,1.1614,2.0528,1.7128,7.4860
348,1.1685,2.0690,1.7095,7.4804
349,1.1670,2.0848,1.7274,7.4741
350,1.1520,2.1337,1.6780,7.4682
351,1.1607,2.0498,1.6728,7.4621
352,1.1495,2.0243,1.6998,7.4560
353,1.1658,2.0782,1.7132,7.4491
354,1.1456,2.0023,1.7240,7.4427
355,1.1541,2.0331,1.7434,7.4359
356,1.1555,2.0394,1.6634,7.4296
357,1.1660,2.0416,1.7297,7.4228
358,1.1622,2.0959,1.7025,7.4161
359,1.1626,2.0419,1.6817,7.4087
360,1.1464,2.0302,1.7365,7.4015
361,1.1471,2.0162,1.6920,7.3947
362,1.1558,2.0984,1.7227,7.3871
363,1.1567,2.0341,1.6705,7.3797
364,1.1716,2.0236,1.6859,7.3722
365,1.1534,2.0461,1.7107,7.3644
366,1.1564,2.0543,1.7041,7.3564
367,1.1675,2.0709,1.6886,7.3480
368,1.1472,2.0486,1.7317,7.3401
369,1.1608,1.9666,1.7022,7.3314
370,1.1493,2.0524,1.6854,7.3232
371,1.1338,2.0141,1.7275,7.3140
372,1.1426,2.0157,1.6809,7.3048
373,1.1345,2.0212,1.6802,7.2959
374,1.1563,1.9794,1.6850,7.2864
375,1.1407,2.0659,1.6889,7.2770
376,1.1451,2.0735,1.6650,7.2669
377,1.1239,2.0233,1.7173,7.2570
378,1.1411,2.0351,1.7107,7.2464
379,1.1474,2.0446,1.6644,7.2359
380,1.1320,2.0556,1.6962,7.2249
381,1.1241,2.0514,1.6673,7.2137
382,1.1374,2.0548,1.7385,7.2022
383,1.1304,2.0298,1.6909,7.1906
384,1.1235,2.0038,1.7095,7.1784
385,1.1497,1.9898,1.6764,7.1662
386,1.1398,2.0175,1.6720,7.1532
387,1.1120,2.0290,1.7059,7.1402
388,1.1291,1.9889,1.6763,7.1267
389,1.1538,1.9124,1.6822,7.1133
390,1.1384,1.9667,1.6782,7.0986
391,1.1440,1.9162,1.6912,7.0847
392,1.1183,1.8862,1.6751,7.0698
393,1.1269,1.9541,1.6624,7.0543
394,1.1040,1.9003,1.6481,7.0387
395,1.1195,1.8832,1.6791,7.0226
396,1.1258,1.9404,1.6916,7.0063
397,1.1460,1.9369,1.6708,6.9894
398,1.1176,1.9244,1.6865,6.9718
399,1.1256,1.9222,1.6457,6.9544
400,1.1365,1.9486,1.6695,6.9363
401,1.1339,1.9397,1.6574,6.9179
402,1.1108,1.9830,1.6816,6.8990
403,1.1474,1.9099,1.6321,6.8796
404,1.1042,1.9027,1.6910,6.8592
405,1.1080,1.9581,1.6596,6.8391
406,1.1021,1.8650,1.6812,6.8189
407,1.1399,1.8612,1.6633,6.7973
408,1.1227,1.9263,1.6682,6.7755
409,1.1636,1.8737,1.7129,6.7535
410,1.1057,1.9283,1.6745,6.7308
411,1.1316,1.9313,1.6582,6.7079
412,1.0931,1.9038,1.6686,6.6845
413,1.0992,1.8870,1.6590,6.6606
414,1.1673,1.8869,1.6908,6.6361
415,1.1540,1.8574,1.6596,6.6114
416,1.1104,1.8983,1.6771,6.5861
417,1.1001,1.8929,1.6905,6.5602
418,1.0801,1.9085,1.6488,6.5344
419,1.0976,1.8548,1.6965,6.5081
420,1.1156,1.9097,1.6814,6.4808
421,1.1442,1.8657,1.6236,6.4539
422,1.1045,1.8345,1.6613,6.4263
423,1.1106,1.8789,1.6595,6.3976
424,1.1217,1.8928,1.6311,6.3705
425,1.1153,1.8798,1.6703,6.3413
426,1.1092,1.8427,1.6457,6.3122
427,1.1032,1.8460,1.6760,6.2833
428,1.1137,1.9281,1.6735,6.2535
429,1.1049,1.8548,1.6530,6.2237
430,1.1072,1.8737,1.6632,6.1935
431,1.1059,1.9221,1.6509,6.1636
432,1.1005,1.9015,1.6661,6.1327
433,1.1107,1.8683,1.6315,6.1025
434,1.0928,1.8894,1.6461,6.0719
435,1.0760,1.8592,1.6528,6.0410
436,1.0964,1.8559,1.6822,6.0101
437,1.0872,1.8890,1.6353,5.9790
438,1.0907,1.8417,1.6532,5.9477
439,1.0929,1.8914,1.6566,5.9166
440,1.0775,1.9191,1.6715,5.8853
441,1.1340,1.8830,1.6483,5.8544
442,1.0877,1.8379,1.6397,5.8230
443,1.0968,1.8289,1.6426,5.7922
444,1.1149,1.8294,1.6311,5.7612
445,1.1048,1.8151,1.6639,5.7297
446,1.0902,1.8306,1.6247,5.6993
447,1.0807,1.8521,1.6599,5.6689
448,1.1078,1.8528,1.6384,5.6380
449,1.1297,1.8711,1.6622,5.6075
450,1.0792,1.8526,1.6926,5.5777
451,1.0770,1.8064,1.6304,5.5471
452,1.0699,1.8391,1.6317,5.5170
453,1.0787,1.8201,1.6521,5.4878
454,1.1168,1.8444,1.6397,5.4583
455,1.1111,1.8205,1.6661,5.4292
456,1.0778,1.8349,1.6582,5.4000
457,1.1047,1.7798,1.6618,5.3713
458,1.0616,1.7753,1.6328,5.3425
459,1.0691,1.8485,1.6515,5.3144
460,1.1015,1.8216,1.6257,5.2865
461,1.0589,1.8279,1.6316,5.2588
462,1.0649,1.8495,1.6288,5.2311
463,1.0568,1.8226,1.5963,5.2037
464,1.0758,1.8322,1.6383,5.1770
465,1.1001,1.7728,1.6511,5.1504
466,1.0746,1.8522,1.6565,5.1244
467,1.0719,1.8056,1.6486,5.0985
468,1.0506,1.8976,1.6214,5.0725
469,1.0750,1.8223,1.6331,5.0466
470,1.0778,1.7994,1.6169,5.0221
471,1.0832,1.9002,1.6326,4.9977
472,1.0620,1.8737,1.6540,4.9724
473,1.0597,1.8397,1.6069,4.9486
474,1.0706,1.7857,1.6913,4.9246
475,1.0826,1.8057,1.6201,4.9010
476,1.0724,1.8042,1.6358,4.8775
477,1.0639,1.8238,1.6376,4.8545
478,1.0462,1.7747,1.6297,4.8317
479,1.0522,1.7579,1.6486,4.8090
480,1.0506,1.8428,1.6465,4.7868
481,1.0784,1.7515,1.6538,4.7647
482,1.0415,1.7641,1.6373,4.7436
483,1.0466,1.7679,1.6361,4.7216
484,1.0661,1.7956,1.6056,4.7008
485,1.0552,1.7812,1.6498,4.6799
486,1.0542,1.7738,1.6421,4.6592
487,1.0599,1.7499,1.6108,4.6385
488,1.0932,1.8333,1.6459,4.6187
489,1.0424,1.7795,1.6683,4.5994
490,1.0662,1.7754,1.6268,4.5794
491,1.0655,1.7704,1.6476,4.5601
492,1.0926,1.7806,1.6318,4.5408
493,1.0573,1.7761,1.6640,4.5217
494,1.0408,1.7667,1.6135,4.5035
495,1.0533,1.8490,1.6023,4.4849
496,1.0571,1.7359,1.6122,4.4670
497,1.0415,1.7741,1.6157,4.4491
498,1.0847,1.7394,1.6197,4.4312
499,1.0502,1.7523,1.6724,4.4137
500,1.0387,1.7245,1.6366,4.3966
