Epoch,SGD,SGD with Momentum,Adam,AdamW,RMSprop,Adagrad
328,1.1689,0.3029,0.2415,0.3701,0.9910,7.4360
329,1.1051,0.3540,0.2292,0.3600,0.9910,7.4331
330,1.1417,0.3745,0.2343,0.3596,0.9897,7.4303
331,1.2635,0.2792,0.2311,0.3552,0.9911,7.4275
332,1.0843,0.2972,0.2304,0.3605,0.9907,7.4247
333,1.2074,0.3312,0.2351,0.3613,0.9928,7.4218
334,1.2222,0.2870,0.2281,0.3643,0.9850,7.4190
335,1.1995,0.3752,0.2302,0.3624,0.9882,7.4162
336,1.2722,0.3002,0.2357,0.3564,0.9851,7.4134
337,1.0932,0.3044,0.2289,0.3505,0.9889,7.4105
338,1.0302,0.2734,0.2271,0.3564,0.9878,7.4077
339,1.2868,0.3355,0.2275,0.3529,0.9867,7.4049
340,1.0562,0.2876,0.2275,0.3535,0.9871,7.4021
341,1.2248,0.2861,0.2327,0.3549,0.9862,7.3992
342,1.2124,0.2921,0.2273,0.3548,0.9858,7.3964
343,1.0719,0.2910,0.2269,0.3533,0.9849,7.3936
344,1.0870,0.4286,0.2291,0.3589,0.9862,7.3908
345,1.1916,0.3556,0.2310,0.3535,0.9858,7.3879
346,1.1058,0.3197,0.2260,0.3589,0.9835,7.3851
347,1.1836,0.3497,0.2269,0.3534,0.9844,7.3823
348,1.0789,0.3402,0.2257,0.3437,0.9860,7.3795
349,1.1918,0.2958,0.2255,0.3507,0.9825,7.3766
350,1.1638,0.2943,0.2245,0.3475,0.9842,7.3738
351,1.1788,0.2838,0.2274,0.3469,0.9818,7.3710
352,1.1321,0.2843,0.2254,0.3460,0.9823,7.3682
353,1.1273,0.3084,0.2285,0.3475,0.9815,7.3653
354,1.1570,0.3670,0.2230,0.3426,0.9841,7.3625
355,1.1995,0.3102,0.2236,0.3454,0.9823,7.3597
356,1.2031,0.3687,0.2223,0.3425,0.9813,7.3569
357,1.1888,0.3501,0.2251,0.3410,0.9806,7.3540
358,1.1031,0.2679,0.2219,0.3486,0.9802,7.3512
359,1.0911,0.2901,0.2254,0.3462,0.9835,7.3484
360,1.2664,0.2733,0.2230,0.3429,0.9791,7.3456
361,1.2061,0.2774,0.2239,0.3391,0.9796,7.3427
362,1.2211,0.2704,0.2274,0.3439,0.9778,7.3399
363,1.1863,0.3222,0.2224,0.3428,0.9788,7.3371
364,1.1510,0.3476,0.2200,0.3401,0.9800,7.3343
365,1.1535,0.3201,0.2193,0.3471,0.9793,7.3315
366,1.2958,0.2728,0.2211,0.3428,0.9775,7.3286
367,1.2169,0.3632,0.2220,0.3380,0.9772,7.3258
368,1.0664,0.2830,0.2250,0.3467,0.9772,7.3230
369,1.0734,0.2793,0.2223,0.3377,0.9788,7.3202
370,1.2345,0.2705,0.2222,0.3432,0.9784,7.3173
371,1.2616,0.2764,0.2188,0.3474,0.9773,7.3145
372,1.0711,0.3130,0.2196,0.3392,0.9769,7.3117
373,1.0984,0.3134,0.2225,0.3415,0.9756,7.3089
374,1.0851,0.4489,0.2174,0.3341,0.9769,7.3061
375,1.1574,0.2640,0.2180,0.3345,0.9764,7.3032
376,1.1185,0.2840,0.2209,0.3364,0.9748,7.3004
377,1.1391,0.3485,0.2195,0.3416,0.9762,7.2976
378,1.1609,0.2878,0.2230,0.3305,0.9740,7.2948
379,1.1767,0.3155,0.2203,0.3342,0.9757,7.2920
380,1.2022,0.2777,0.2165,0.3361,0.9747,7.2892
381,1.1456,0.2844,0.2189,0.3374,0.9758,7.2863
382,1.1141,0.2858,0.2154,0.3415,0.9740,7.2835
383,1.1109,0.3002,0.2184,0.3300,0.9747,7.2807
384,1.0921,0.3101,0.2205,0.3295,0.9732,7.2779
385,1.2319,0.3108,0.2149,0.3346,0.9720,7.2751
386,1.1482,0.2684,0.2197,0.3300,0.9732,7.2723
387,1.0959,0.2856,0.2164,0.3308,0.9726,7.2694
388,1.1918,0.2813,0.2225,0.3295,0.9741,7.2666
389,1.0394,0.2767,0.2152,0.3289,0.9729,7.2638
390,1.1313,0.3980,0.2152,0.3266,0.9722,7.2610
391,1.1560,0.3078,0.2159,0.3307,0.9732,7.2582
392,1.2340,0.2909,0.2204,0.3424,0.9710,7.2554
393,1.0618,0.3324,0.2192,0.3245,0.9709,7.2526
