Epoch,2x8x4x1,2x16x8x4x1,2x32x16x8x4x1,2x64x32x16x8x4x1
370,1.0905,0.1455,0.0520,0.0299
371,1.0894,0.1735,0.0499,0.0300
372,1.0790,0.1221,0.0511,0.0295
373,1.0819,0.1299,0.0477,0.0275
374,1.0794,0.1364,0.0592,0.0328
375,1.0831,0.1152,0.0534,0.0288
376,1.0818,0.1222,0.0491,0.0271
377,1.0841,0.1819,0.0507,0.0320
378,1.0747,0.1169,0.0507,0.0278
379,1.0713,0.1165,0.0724,0.0298
380,1.0776,0.1202,0.0413,0.0445
381,1.0703,0.1329,0.0405,0.0290
382,1.0657,0.1069,0.0520,0.0336
383,1.0659,0.1222,0.0431,0.0462
384,1.0680,0.1246,0.0411,0.0254
385,1.0630,0.1199,0.0655,0.0253
386,1.0651,0.1359,0.0520,0.0276
387,1.0626,0.1745,0.0434,0.0278
388,1.0589,0.1640,0.0783,0.0328
389,1.0578,0.1174,0.0552,0.0315
390,1.0566,0.1565,0.0450,0.0286
391,1.0651,0.1568,0.0417,0.0306
392,1.0503,0.1497,0.0476,0.0379
393,1.0517,0.1322,0.0391,0.0339
394,1.0507,0.1269,0.0419,0.0384
395,1.0468,0.1137,0.0376,0.0329
396,1.0449,0.1302,0.0724,0.0293
397,1.0412,0.1137,0.0521,0.0297
398,1.0332,0.1349,0.0544,0.0258
399,1.0414,0.1123,0.0565,0.0333
400,1.0324,0.1394,0.0532,0.0326
401,1.0274,0.1064,0.0370,0.0276
402,1.0248,0.1427,0.0433,0.0250
403,1.0253,0.1645,0.0435,0.0295
404,1.0125,0.1285,0.0433,0.0340
405,1.0170,0.1344,0.0504,0.0267
406,1.0081,0.1134,0.0428,0.0322
407,1.0056,0.1285,0.0476,0.0305
408,1.0146,0.1094,0.0482,0.0361
409,0.9997,0.2043,0.0530,0.0251
410,0.9965,0.1245,0.0409,0.0289
411,0.9851,0.1339,0.0444,0.0389
412,0.9798,0.1062,0.0531,0.0313
413,0.9704,0.1190,0.0491,0.0240
414,0.9659,0.1160,0.0423,0.0259
415,0.9605,0.1074,0.0529,0.0273
416,0.9689,0.1071,0.0553,0.0237
417,0.9529,0.1098,0.0460,0.0257
418,0.9566,0.1128,0.0673,0.0299
419,0.9492,0.1117,0.0601,0.0304
420,0.9478,0.1040,0.0529,0.0241
421,0.9459,0.1187,0.0469,0.0398
422,0.9517,0.1049,0.0604,0.0275
423,0.9441,0.1012,0.0477,0.0258
424,0.9207,0.1261,0.0412,0.0269
425,0.9265,0.1263,0.0351,0.0273
426,0.9259,0.1069,0.0493,0.0257
427,0.9023,0.1187,0.0429,0.0249
428,0.9119,0.1062,0.0445,0.0253
429,0.9175,0.1058,0.0843,0.0238
430,0.8993,0.1293,0.0401,0.0273
431,0.9044,0.1052,0.0376,0.0254
432,0.9086,0.1219,0.0325,0.0280
433,0.9016,0.1272,0.0494,0.0260
434,0.8933,0.1110,0.0417,0.0221
435,0.8858,0.1129,0.0455,0.0239
436,0.9075,0.1219,0.0579,0.0293
437,0.9159,0.1261,0.0424,0.0233
438,0.8830,0.1307,0.0465,0.0233
439,0.8801,0.1231,0.0389,0.0226
440,0.8675,0.1215,0.0320,0.0228
441,0.8946,0.1306,0.0403,0.0247
442,0.8586,0.0981,0.0537,0.0287
443,0.8539,0.1337,0.0591,0.0292
444,0.8527,0.1063,0.0456,0.0329
445,0.8667,0.1054,0.0412,0.0250
446,0.8585,0.1108,0.0387,0.0292
447,0.8693,0.1046,0.0370,0.0246
448,0.8477,0.0957,0.0581,0.0242
449,0.8426,0.0937,0.0922,0.0412
450,0.8412,0.1151,0.0405,0.0298
451,0.8083,0.1104,0.0389,0.0212
452,0.8340,0.1155,0.0409,0.0249
453,0.8580,0.0964,0.0583,0.0227
454,0.7944,0.1249,0.0361,0.0246
455,0.8370,0.1015,0.0345,0.0258
456,0.8179,0.1262,0.0692,0.0241
457,0.8173,0.1274,0.0524,0.0242
458,0.8227,0.1076,0.0447,0.0223
459,0.7956,0.0963,0.0370,0.0251
460,0.8298,0.1178,0.0327,0.0271
461,0.8402,0.1016,0.0400,0.0217
462,0.8027,0.1071,0.0495,0.0255
463,0.7884,0.0906,0.0514,0.0243
464,0.8044,0.1063,0.0348,0.0240
465,0.7909,0.0955,0.0878,0.0482
466,0.8115,0.0873,0.0471,0.0232
467,0.8320,0.0895,0.0384,0.0236
468,0.7893,0.1535,0.0361,0.0230
469,0.7818,0.0910,0.0391,0.0247
470,0.8170,0.1008,0.0445,0.0251
471,0.7885,0.0926,0.0364,0.0201
472,0.7804,0.1103,0.0402,0.0242
473,0.8139,0.0884,0.0347,0.0227
474,0.7560,0.0861,0.0348,0.0237
475,0.7947,0.1010,0.0417,0.0210
476,0.7507,0.1288,0.0315,0.0324
477,0.8284,0.1030,0.0322,0.0245
478,0.7679,0.1002,0.0461,0.0218
479,0.8067,0.0901,0.0432,0.0233
480,0.7867,0.0996,0.0398,0.0234
481,0.7970,0.0868,0.0417,0.0207
482,0.7755,0.0939,0.0457,0.0213
483,0.7885,0.0980,0.0441,0.0437
484,0.8082,0.1060,0.0420,0.0217
485,0.7727,0.1090,0.0451,0.0211
486,0.7724,0.0943,0.0461,0.0242
487,0.7441,0.0884,0.0408,0.0218
488,0.7827,0.0925,0.0337,0.0223
489,0.7691,0.0808,0.0666,0.0257
