Epoch,2x64x32x1,2x64x32x16x1,2x64x32x16x8x1,2x64x32x16x8x4x1
454,0.0303,0.0322,0.0380,0.0323
455,0.0308,0.0284,0.0243,0.0238
456,0.0302,0.0269,0.0266,0.0209
457,0.0310,0.0326,0.0238,0.0212
458,0.0299,0.0445,0.0216,0.0249
459,0.0308,0.0392,0.0241,0.0300
460,0.0301,0.0356,0.0229,0.0210
461,0.0301,0.0297,0.0231,0.0281
462,0.0299,0.0299,0.0317,0.0258
463,0.0303,0.0341,0.0225,0.0286
464,0.0296,0.0278,0.0238,0.0434
465,0.0306,0.0254,0.0267,0.0250
466,0.0298,0.0307,0.0209,0.0204
467,0.0291,0.0274,0.0221,0.0197
468,0.0295,0.0284,0.0215,0.0226
469,0.0296,0.0314,0.0212,0.0243
470,0.0295,0.0301,0.0235,0.0196
471,0.0294,0.0390,0.0201,0.0222
472,0.0290,0.0257,0.0228,0.0218
473,0.0290,0.0606,0.0222,0.0206
474,0.0284,0.0288,0.0193,0.0202
475,0.0287,0.0263,0.0202,0.0213
476,0.0290,0.0321,0.0239,0.0256
477,0.0283,0.0391,0.0249,0.0223
478,0.0279,0.0260,0.0222,0.0322
479,0.0278,0.0382,0.0217,0.0210
480,0.0286,0.0335,0.0227,0.0323
481,0.0282,0.0250,0.0218,0.0216
482,0.0283,0.0252,0.0233,0.0194
483,0.0273,0.0379,0.0252,0.0192
484,0.0274,0.0285,0.0215,0.0259
485,0.0279,0.0273,0.0212,0.0222
486,0.0273,0.0340,0.0223,0.0259
487,0.0271,0.0295,0.0271,0.0234
488,0.0269,0.0259,0.0217,0.0286
489,0.0272,0.0262,0.0264,0.0262
490,0.0267,0.0289,0.0230,0.0222
491,0.0275,0.0313,0.0216,0.0293
492,0.0271,0.0296,0.0224,0.0467
493,0.0271,0.0291,0.0198,0.0258
494,0.0261,0.0320,0.0234,0.0244
495,0.0260,0.0294,0.0202,0.0192
496,0.0259,0.0287,0.0191,0.0236
497,0.0263,0.0257,0.0251,0.0276
498,0.0266,0.0367,0.0234,0.0325
499,0.0256,0.0228,0.0236,0.0194
500,0.0260,0.0259,0.0269,0.0199
