Epoch,Mean Squared Error,Mean Absolute Error,Smooth L1 Loss,Huber Loss,Log-Cosh Loss,Quantile Loss,Mean Absolute Percentage Error
284,0.5792,0.9062,1.0824,0.8648,0.5797,0.4840,1.0222
285,0.5787,0.9046,1.0797,0.8611,0.5778,0.4840,1.0207
286,0.5768,0.9032,1.0768,0.8576,0.5759,0.4840,1.0169
287,0.5744,0.9015,1.0740,0.8538,0.5740,0.4839,1.0201
288,0.5709,0.9001,1.0711,0.8500,0.5723,0.4839,1.0219
289,0.5704,0.8984,1.0682,0.8463,0.5705,0.4839,1.0182
290,0.5665,0.8970,1.0654,0.8423,0.5688,0.4839,1.0121
291,0.5638,0.8955,1.0625,0.8383,0.5671,0.4838,1.0137
292,0.5653,0.8942,1.0596,0.8343,0.5653,0.4838,1.0204
293,0.5640,0.8926,1.0567,0.8302,0.5637,0.4838,1.0134
294,0.5676,0.8909,1.0539,0.8261,0.5621,0.4838,1.0211
295,0.5634,0.8895,1.0510,0.8216,0.5605,0.4837,1.0226
296,0.5575,0.8880,1.0482,0.8173,0.5588,0.4837,1.0164
297,0.5620,0.8868,1.0454,0.8128,0.5574,0.4837,1.0182
298,0.5515,0.8854,1.0425,0.8081,0.5559,0.4837,1.0139
299,0.5523,0.8836,1.0397,0.8035,0.5543,0.4836,1.0159
300,0.5575,0.8823,1.0369,0.7986,0.5528,0.4836,1.0169
301,0.5534,0.8808,1.0342,0.7939,0.5513,0.4836,1.0157
302,0.5581,0.8787,1.0314,0.7890,0.5499,0.4836,1.0140
303,0.5522,0.8771,1.0287,0.7839,0.5485,0.4835,1.0193
304,0.5518,0.8762,1.0260,0.7788,0.5472,0.4835,1.0226
305,0.5690,0.8753,1.0233,0.7737,0.5457,0.4835,1.0166
306,0.5475,0.8736,1.0206,0.7685,0.5444,0.4835,1.0156
307,0.5509,0.8722,1.0179,0.7632,0.5430,0.4834,1.0281
308,0.5486,0.8707,1.0153,0.7581,0.5418,0.4834,1.0199
309,0.5479,0.8685,1.0127,0.7529,0.5404,0.4834,1.0172
310,0.5452,0.8677,1.0101,0.7476,0.5391,0.4834,1.0170
311,0.5501,0.8663,1.0076,0.7425,0.5379,0.4833,1.0174
312,0.5369,0.8646,1.0050,0.7373,0.5366,0.4833,1.0172
313,0.5428,0.8634,1.0025,0.7323,0.5354,0.4833,1.0245
314,0.5395,0.8621,1.0000,0.7274,0.5342,0.4833,1.0165
315,0.5423,0.8606,0.9976,0.7224,0.5330,0.4832,1.0105
316,0.5373,0.8592,0.9950,0.7176,0.5319,0.4832,1.0214
317,0.5336,0.8578,0.9926,0.7128,0.5307,0.4832,1.0219
318,0.5456,0.8567,0.9903,0.7082,0.5295,0.4832,1.0134
319,0.5326,0.8549,0.9878,0.7036,0.5284,0.4831,1.0162
320,0.5340,0.8537,0.9855,0.6992,0.5272,0.4831,1.0191
321,0.5248,0.8520,0.9830,0.6949,0.5262,0.4831,1.0197
322,0.5428,0.8512,0.9808,0.6905,0.5251,0.4831,1.0170
323,0.5260,0.8496,0.9784,0.6864,0.5240,0.4830,1.0181
324,0.5314,0.8477,0.9760,0.6825,0.5230,0.4830,1.0182
325,0.5283,0.8469,0.9737,0.6787,0.5219,0.4830,1.0055
326,0.5309,0.8457,0.9714,0.6749,0.5209,0.4829,1.0223
327,0.5256,0.8441,0.9691,0.6712,0.5199,0.4829,1.0175
328,0.5266,0.8421,0.9669,0.6676,0.5189,0.4829,1.0149
329,0.5220,0.8418,0.9646,0.6641,0.5179,0.4829,1.0173
330,0.5318,0.8402,0.9623,0.6608,0.5169,0.4828,1.0166
331,0.5207,0.8389,0.9601,0.6577,0.5160,0.4828,1.0225
332,0.5266,0.8376,0.9578,0.6545,0.5149,0.4828,1.0188
333,0.5171,0.8363,0.9556,0.6516,0.5139,0.4828,1.0145
334,0.5221,0.8346,0.9533,0.6484,0.5131,0.4827,1.0207
335,0.5224,0.8343,0.9511,0.6458,0.5122,0.4827,1.0133
336,0.5267,0.8323,0.9489,0.6430,0.5112,0.4827,1.0170
337,0.5172,0.8308,0.9467,0.6404,0.5103,0.4826,1.0256
338,0.5183,0.8287,0.9444,0.6379,0.5095,0.4826,1.0102
339,0.5219,0.8290,0.9422,0.6354,0.5086,0.4826,1.0254
340,0.5208,0.8273,0.9400,0.6330,0.5077,0.4826,1.0162
341,0.5183,0.8261,0.9378,0.6307,0.5069,0.4825,1.0135
342,0.5104,0.8249,0.9357,0.6286,0.5060,0.4825,1.0250
343,0.5165,0.8238,0.9335,0.6263,0.5051,0.4825,1.0154
344,0.5252,0.8226,0.9313,0.6242,0.5043,0.4824,1.0126
345,0.5211,0.8218,0.9291,0.6223,0.5036,0.4824,1.0261
346,0.5080,0.8201,0.9269,0.6203,0.5027,0.4824,1.0203
347,0.5127,0.8183,0.9247,0.6184,0.5019,0.4824,1.0185
348,0.5113,0.8178,0.9225,0.6167,0.5012,0.4823,1.0146
349,0.5221,0.8166,0.9203,0.6149,0.5003,0.4823,1.0147
350,0.5146,0.8151,0.9181,0.6131,0.4996,0.4823,1.0208
351,0.5147,0.8136,0.9160,0.6113,0.4988,0.4822,1.0120
352,0.5084,0.8124,0.9138,0.6098,0.4979,0.4822,1.0161
353,0.5062,0.8116,0.9115,0.6082,0.4971,0.4822,1.0098
354,0.5034,0.8106,0.9095,0.6066,0.4965,0.4822,1.0256
355,0.5058,0.8096,0.9074,0.6049,0.4957,0.4821,1.0214
356,0.5116,0.8079,0.9052,0.6035,0.4951,0.4821,1.0217
357,0.5082,0.8077,0.9030,0.6021,0.4943,0.4821,1.0216
358,0.4962,0.8060,0.9007,0.6006,0.4936,0.4820,1.0181
359,0.4971,0.8051,0.8986,0.5993,0.4929,0.4820,1.0213
360,0.4916,0.8033,0.8966,0.5979,0.4922,0.4820,1.0207
361,0.4967,0.8022,0.8944,0.5965,0.4915,0.4819,1.0128
362,0.5144,0.8008,0.8924,0.5951,0.4908,0.4819,1.0194
363,0.4984,0.8002,0.8903,0.5939,0.4900,0.4819,1.0257
364,0.5077,0.7987,0.8883,0.5925,0.4894,0.4819,1.0148
365,0.4911,0.7978,0.8861,0.5913,0.4888,0.4818,1.0109
366,0.5003,0.7964,0.8842,0.5900,0.4881,0.4818,1.0250
367,0.5059,0.7955,0.8821,0.5888,0.4874,0.4818,1.0179
368,0.5009,0.7950,0.8801,0.5877,0.4867,0.4817,1.0155
369,0.4846,0.7929,0.8781,0.5863,0.4862,0.4817,1.0157
370,0.4964,0.7924,0.8761,0.5852,0.4856,0.4817,1.0188
