,Train Input Epoch 1000,Train Output Epoch 1000,Test Input Epoch 1000,Test Output Epoch 1000,Val Input Epoch 1000,Val Output Epoch 1000,Train Input Epoch 2000,Train Output Epoch 2000,Test Input Epoch 2000,Test Output Epoch 2000,Val Input Epoch 2000,Val Output Epoch 2000,Train Input Epoch 3000,Train Output Epoch 3000,Test Input Epoch 3000,Test Output Epoch 3000,Val Input Epoch 3000,Val Output Epoch 3000,Train Input Epoch 4000,Train Output Epoch 4000,Test Input Epoch 4000,Test Output Epoch 4000,Val Input Epoch 4000,Val Output Epoch 4000,Final Train R_2,Final Test R_2,Final Val R_2
25,0.589859009,2.447138071,0.932993293,0.561910808,0.461746186,-1.172572613,0.589859009,2.433909416,0.932993293,0.552269042,0.461746186,-1.139296293,0.589859009,2.417610407,0.932993293,0.522225261,0.461746186,-1.127956152,0.589859009,2.408658028,0.932993293,0.505313158,0.461746186,-1.120862365,,,
26,0.933893383,0.538295031,0.305930585,1.306750059,0.731973171,-2.199079275,0.933893383,0.527247429,0.305930585,1.318113565,0.731973171,-2.18542099,0.933893383,0.495787293,0.305930585,1.317352891,0.731973171,-2.184549809,0.933893383,0.477582812,0.305930585,1.319516301,0.731973171,-2.188592434,,,
27,0.916091621,0.974062383,0.933493376,0.548808277,0.456145614,-1.607749701,0.916091621,0.995455444,0.933493376,0.538380742,0.456145614,-1.567534447,0.916091621,0.99881649,0.933493376,0.507543683,0.456145614,-1.556936026,0.916091621,1.009779811,0.933493376,0.489908099,0.456145614,-1.552544355,,,
28,0.99969995,-1.4187603,0.764276445,-1.266306162,0.314331442,0.394356072,0.99969995,-1.342725396,0.764276445,-1.20838356,0.314331442,0.411748588,0.99969995,-1.269668341,0.764276445,-1.179344177,0.314331442,0.412799507,0.99969995,-1.217783451,0.764276445,-1.160220146,0.314331442,0.414842486,,,
29,0.515151501,2.552410841,0.262526244,5.330814362,0.60796082,1.535491705,0.515151501,2.563418388,0.262526244,5.328032017,0.60796082,1.531433582,0.515151501,2.559962273,0.262526244,5.327766895,0.60796082,1.519285083,0.515151501,2.555231094,0.262526244,5.329736233,0.60796082,1.509776354,,,
30,0.046804681,-7.044680595,0.974597454,-0.644633949,0.513051271,2.459887028,0.046804681,-7.050580502,0.974597454,-0.652431905,0.513051271,2.466402531,0.046804681,-7.05223608,0.974597454,-0.664491653,0.513051271,2.460697889,0.046804681,-7.048369884,0.974597454,-0.671886444,0.513051271,2.45466733,,,
31,0.15451546,-0.844033301,0.883288324,1.550550461,0.56095612,3.213483095,0.15451546,-0.859286726,0.883288324,1.615150571,0.56095612,3.237097502,0.15451546,-0.859161735,0.883288324,1.660205007,0.56095612,3.242326498,0.15451546,-0.853992939,0.883288324,1.688028574,0.56095612,3.250478029,,,
32,0.63116312,0.096437752,0.504950523,2.04718852,0.64366436,-0.63985914,0.63116312,0.135294363,0.504950523,2.036561966,0.64366436,-0.591992915,0.63116312,0.146984726,0.504950523,2.023263931,0.64366436,-0.573629141,0.63116312,0.152871266,0.504950523,2.014126062,0.64366436,-0.560758114,,,
33,0.268326849,4.941415787,0.384438455,-4.533265114,0.799179912,0.366516888,0.268326849,4.935005665,0.384438455,-4.522699833,0.799179912,0.338621199,0.268326849,4.93298912,0.384438455,-4.519663334,0.799179912,0.318641335,0.268326849,4.934260845,0.384438455,-4.518979073,0.799179912,0.315385818,,,
34,0.896689653,1.35729003,0.716971695,-2.345119238,0.157815784,-0.357585013,0.896689653,1.411428571,0.716971695,-2.365674973,0.157815784,-0.373083234,0.896689653,1.448916078,0.716971695,-2.384557724,0.157815784,-0.373807758,0.896689653,1.479627728,0.716971695,-2.398819447,0.157815784,-0.369026542,,,
35,0.618161798,0.916806281,0.730172992,-2.225675344,0.135513559,-3.612133026,0.618161798,0.931164086,0.730172992,-2.216593027,0.135513559,-3.630525351,0.618161798,0.928862691,0.730172992,-2.218384266,0.135513559,-3.633532286,0.618161798,0.924888968,0.730172992,-2.223987103,0.135513559,-3.632675648,,,
36,0.102510251,-7.457399845,0.791279137,-0.001819849,0.752275229,-1.713054895,0.102510251,-7.468941689,0.791279137,-0.00891383,0.752275229,-1.657143831,0.102510251,-7.469285488,0.791279137,-0.014937133,0.752275229,-1.630930424,0.102510251,-7.464666843,0.791279137,-0.00991039,0.752275229,-1.617084384,,,
37,0.511251092,2.37582612,0.594059408,2.262661934,0.454045415,-1.767116308,0.511251092,2.378436804,0.594059408,2.248399973,0.454045415,-1.726128221,0.511251092,2.370850325,0.594059408,2.231314898,0.454045415,-1.716540337,0.511251092,2.363838911,0.594059408,2.221024036,0.454045415,-1.713308573,,,
38,0.856285632,1.701157808,0.149414942,-1.598071814,0.463146329,-1.061751366,0.856285632,1.740225792,0.149414942,-1.613474846,0.463146329,-1.03120482,0.856285632,1.754966021,0.149414942,-1.613080263,0.463146329,-1.020175457,0.856285632,1.752466559,0.149414942,-1.608277202,0.463146329,-1.012578964,,,
39,0.536853671,3.171598434,0.55295527,3.269286633,0.833683372,1.486203909,0.536853671,3.211704493,0.55295527,3.302972555,0.833683372,1.469828844,0.536853671,3.225135088,0.55295527,3.313740969,0.833683372,1.443404436,0.536853671,3.234778404,0.55295527,3.324867964,0.833683372,1.422319412,,,
40,0.23542355,6.259072304,0.808080792,0.743591011,0.683068275,-2.092303514,0.23542355,6.264214993,0.808080792,0.70153451,0.683068275,-2.113471985,0.23542355,6.263812065,0.808080792,0.669499159,0.683068275,-2.130932331,0.23542355,6.265129566,0.808080792,0.657395959,0.683068275,-2.135947704,,,
41,0.727872789,-2.255943537,0.010701071,-1.614679098,0.85008502,1.678432941,0.727872789,-2.252623081,0.010701071,-1.581379652,0.85008502,1.703573585,0.727872789,-2.257761717,0.010701071,-1.592090368,0.85008502,1.70626235,0.727872789,-2.265256882,0.010701071,-1.596343875,0.85008502,1.696733475,,,
42,0.360236019,-3.6474998,0.323832393,-0.600917935,0.613761365,1.189686775,0.360236019,-3.642543793,0.323832393,-0.585604727,0.613761365,1.19538343,0.360236019,-3.645951033,0.323832393,-0.584634423,0.613761365,1.188395619,0.360236019,-3.644694328,0.323832393,-0.583720386,0.613761365,1.181612492,,,
43,0.077307731,-8.538329124,0.415141523,-4.106423855,0.831683159,1.448235035,0.077307731,-8.554796219,0.415141523,-4.125844955,0.831683159,1.427198529,0.077307731,-8.55659771,0.415141523,-4.13322401,0.831683159,1.398156166,0.077307731,-8.558036804,0.415141523,-4.132287979,0.831683159,1.376566768,,,
44,0.677367747,-1.968032122,0.21832183,5.960399628,0.448444843,-2.180365324,0.677367747,-1.978199482,0.21832183,5.950132847,0.448444843,-2.142233133,0.677367747,-1.989146709,0.21832183,5.944841385,0.448444843,-2.136741161,0.677367747,-1.98949337,0.21832183,5.94480896,0.448444843,-2.136450291,,,
